Ziehungstag;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Stern1;Stern2;Rang;Zahlen;Sterne;Europa;Österreich;Quoten;
Fr. 03.05.2024;6;9;10;30;49;3;4;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           3;           0;     211.741,00;
;;;;;;;;3;5;0;           8;           0;      18.557,70;
;;;;;;;;4;4;2;          24;           1;       1.926,70;
;;;;;;;;5;4;1;         816;          40;         104,30;
;;;;;;;;6;3;2;       1.569;          64;          57,30;
;;;;;;;;7;4;0;       1.610;          73;          39,30;
;;;;;;;;8;2;2;      21.715;         962;          14,50;
;;;;;;;;9;3;1;      35.764;       1.415;           9,80;
;;;;;;;;10;3;0;      75.020;       3.085;           8,70;
;;;;;;;;11;1;2;     109.236;       4.751;           7,20;
;;;;;;;;12;2;1;     508.536;      20.230;           4,90;
;;;;;;;;13;2;0;   1.027.342;      42.329;           3,90;
Di. 07.05.2024;35;36;41;42;45;6;11;1;5;2;JP;JP;  26.436.747,60;
;;;;;;;;2;5;1;           0;           0;wird dem Rang 5+0 zugeschlagen;
;;;;;;;;3;5;0;           3;           0;     202.575,50;
;;;;;;;;4;4;2;          21;           2;       1.707,60;
;;;;;;;;5;4;1;         346;          23;         190,90;
;;;;;;;;6;3;2;         841;          52;          83,00;
;;;;;;;;7;4;0;         804;          48;          61,00;
;;;;;;;;8;2;2;      13.572;         828;          18,00;
;;;;;;;;9;3;1;      16.490;       1.042;          16,50;
;;;;;;;;10;3;0;      38.152;       2.453;          13,30;
;;;;;;;;11;1;2;      77.930;       4.306;           7,90;
;;;;;;;;12;2;1;     272.183;      16.089;           7,10;
;;;;;;;;13;2;0;     627.708;      36.104;           4,90;
Fr. 10.05.2024;13;28;29;44;48;4;12;1;5;2;JP;JP;  38.735.490,70;
;;;;;;;;2;5;1;           3;           1;     213.998,10;
;;;;;;;;3;5;0;           6;           1;      25.007,40;
;;;;;;;;4;4;2;          18;           0;       2.596,40;
;;;;;;;;5;4;1;         629;          31;         136,80;
;;;;;;;;6;3;2;       1.241;          73;          73,30;
;;;;;;;;7;4;0;       1.499;          82;          42,60;
;;;;;;;;8;2;2;      18.174;         969;          17,50;
;;;;;;;;9;3;1;      28.133;       1.403;          12,60;
;;;;;;;;10;3;0;      72.372;       3.261;           9,10;
;;;;;;;;11;1;2;      93.179;       4.809;           8,60;
;;;;;;;;12;2;1;     415.055;      19.461;           6,10;
;;;;;;;;13;2;0;   1.067.762;      47.064;           3,80;
Di. 14.05.2024;2;8;17;28;35;7;9;1;5;2;           1;           0;  48.748.900,00;
;;;;;;;;2;5;1;           5;           0;     104.539,90;
;;;;;;;;3;5;0;           7;           0;      17.451,90;
;;;;;;;;4;4;2;          43;           5;         884,90;
;;;;;;;;5;4;1;         856;          45;          81,80;
;;;;;;;;6;3;2;       1.704;          75;          43,40;
;;;;;;;;7;4;0;       1.704;         104;          30,50;
;;;;;;;;8;2;2;      23.530;       1.076;          11,00;
;;;;;;;;9;3;1;      32.287;       1.588;           8,90;
;;;;;;;;10;3;0;      66.637;       3.440;           8,10;
;;;;;;;;11;1;2;     120.656;       5.475;           5,40;
;;;;;;;;12;2;1;     429.438;      20.720;           4,80;
;;;;;;;;13;2;0;     858.175;      45.390;           3,80;
Fr. 17.05.2024;18;31;32;41;46;1;10;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           2;           0;     306.136,50;
;;;;;;;;3;5;0;           3;           0;      47.699,40;
;;;;;;;;4;4;2;          25;           2;       1.782,80;
;;;;;;;;5;4;1;         437;          16;         187,80;
;;;;;;;;6;3;2;       1.009;          43;          86,00;
;;;;;;;;7;4;0;       1.108;          33;          55,00;
;;;;;;;;8;2;2;      14.760;         715;          20,60;
;;;;;;;;9;3;1;      21.945;       1.028;          15,50;
;;;;;;;;10;3;0;      54.773;       2.437;          11,50;
;;;;;;;;11;1;2;      83.136;       4.045;           9,20;
;;;;;;;;12;2;1;     333.262;      15.691;           7,20;
;;;;;;;;13;2;0;     853.890;      36.610;           4,50;
Di. 21.05.2024;11;13;14;34;48;7;9;1;5;2;JP;JP;  25.835.023,40;
;;;;;;;;2;5;1;           1;           0;     461.188,20;
;;;;;;;;3;5;0;           5;           0;      21.557,40;
;;;;;;;;4;4;2;          33;           2;       1.017,30;
;;;;;;;;5;4;1;         447;          27;         138,30;
;;;;;;;;6;3;2;       1.264;          49;          51,70;
;;;;;;;;7;4;0;         919;          47;          49,90;
;;;;;;;;8;2;2;      20.234;         789;          11,30;
;;;;;;;;9;3;1;      22.989;       1.041;          11,10;
;;;;;;;;10;3;0;      45.943;       2.144;          10,30;
;;;;;;;;11;1;2;     109.565;       4.231;           5,20;
;;;;;;;;12;2;1;     362.186;      15.800;           5,00;
;;;;;;;;13;2;0;     707.727;      34.443;           4,10;
Fr. 24.05.2024;9;12;18;22;50;1;3;1;5;2;JP;JP;  38.150.340,70;
;;;;;;;;2;5;1;           2;           0;     321.429,70;
;;;;;;;;3;5;0;           6;           1;      25.041,10;
;;;;;;;;4;4;2;          29;           1;       1.613,70;
;;;;;;;;5;4;1;         803;          32;         107,30;
;;;;;;;;6;3;2;       1.757;          69;          51,80;
;;;;;;;;7;4;0;       1.760;          71;          36,30;
;;;;;;;;8;2;2;      24.731;       1.083;          12,90;
;;;;;;;;9;3;1;      37.089;       1.462;           9,60;
;;;;;;;;10;3;0;      79.991;       3.217;           8,30;
;;;;;;;;11;1;2;     120.936;       5.576;           6,60;
;;;;;;;;12;2;1;     512.888;      21.623;           4,90;
;;;;;;;;13;2;0;   1.114.599;      46.560;           3,60;
Di. 28.05.2024;16;18;35;36;41;6;7;1;5;2;JP;JP;  47.755.444,50;
;;;;;;;;2;5;1;           2;           0;     250.693,20;
;;;;;;;;3;5;0;          12;           0;       9.765,10;
;;;;;;;;4;4;2;          15;           1;       2.433,20;
;;;;;;;;5;4;1;         513;          33;         131,00;
;;;;;;;;6;3;2;         973;          31;          73,00;
;;;;;;;;7;4;0;         928;          55;          53,80;
;;;;;;;;8;2;2;      15.394;         839;          16,20;
;;;;;;;;9;3;1;      21.209;       1.143;          13,10;
;;;;;;;;10;3;0;      42.788;       2.550;          12,10;
;;;;;;;;11;1;2;      87.237;       4.430;           7,20;
;;;;;;;;12;2;1;     332.149;      17.490;           5,90;
;;;;;;;;13;2;0;     668.155;      38.192;           4,70;
Fr. 31.05.2024;4;7;16;33;34;7;8;1;5;2;JP;JP;  61.212.841,20;
;;;;;;;;2;5;1;           2;           0;     351.238,00;
;;;;;;;;3;5;0;           3;           0;      54.726,70;
;;;;;;;;4;4;2;          29;           1;       1.763,30;
;;;;;;;;5;4;1;         828;          35;         113,70;
;;;;;;;;6;3;2;       1.741;          75;          57,10;
;;;;;;;;7;4;0;       1.539;          64;          45,40;
;;;;;;;;8;2;2;      24.339;       1.040;          14,30;
;;;;;;;;9;3;1;      41.733;       1.726;           9,30;
;;;;;;;;10;3;0;      76.287;       3.261;           9,50;
;;;;;;;;11;1;2;     126.555;       5.597;           6,90;
;;;;;;;;12;2;1;     591.308;      23.664;           4,60;
;;;;;;;;13;2;0;   1.102.388;      49.978;           4,00;
Di. 04.06.2024;6;7;9;14;43;3;4;1;5;2;JP;JP;  70.207.868,90;
;;;;;;;;2;5;1;           2;           0;     279.488,30;
;;;;;;;;3;5;0;           7;           0;      18.663,10;
;;;;;;;;4;4;2;          26;           3;       1.565,00;
;;;;;;;;5;4;1;         647;          36;         115,80;
;;;;;;;;6;3;2;       1.608;          95;          49,20;
;;;;;;;;7;4;0;       1.443;          81;          38,50;
;;;;;;;;8;2;2;      20.966;       1.311;          13,20;
;;;;;;;;9;3;1;      33.014;       1.791;           9,40;
;;;;;;;;10;3;0;      67.722;       3.802;           8,50;
;;;;;;;;11;1;2;     100.326;       6.400;           6,90;
;;;;;;;;12;2;1;     473.384;      25.833;           4,60;
;;;;;;;;13;2;0;     948.932;      53.886;           3,70;
Fr. 07.06.2024;15;16;26;30;37;5;8;1;5;2;JP;JP; 130.000.000,00;
;;;;;;;;2;5;1;           9;           0;     136.127,50;
;;;;;;;;3;5;0;           5;           1;      57.267,40;
;;;;;;;;4;4;2;          79;           4;       1.128,90;
;;;;;;;;5;4;1;       1.312;          78;         125,20;
;;;;;;;;6;3;2;       3.821;         159;          45,40;
;;;;;;;;7;4;0;       2.910;         157;          41,90;
;;;;;;;;8;2;2;      56.573;       2.481;          10,70;
;;;;;;;;9;3;1;      60.826;       3.140;          11,10;
;;;;;;;;10;3;0;     127.695;       6.615;           9,90;
;;;;;;;;11;1;2;     294.555;      12.780;           5,20;
;;;;;;;;12;2;1;     885.563;      44.084;           5,40;
;;;;;;;;13;2;0;   1.876.170;      97.232;           4,10;
Di. 11.06.2024;7;15;34;45;48;7;9;1;5;2;JP;JP; 143.550.509,80;
;;;;;;;;2;5;1;           5;           0;     168.413,40;
;;;;;;;;3;5;0;          10;           0;      19.680,50;
;;;;;;;;4;4;2;          56;           4;       1.094,60;
;;;;;;;;5;4;1;         945;          52;         119,40;
;;;;;;;;6;3;2;       2.360;         107;          50,50;
;;;;;;;;7;4;0;       1.867;         108;          44,90;
;;;;;;;;8;2;2;      34.664;       1.605;          12,00;
;;;;;;;;9;3;1;      41.280;       2.174;          11,30;
;;;;;;;;10;3;0;      82.326;       4.846;          10,50;
;;;;;;;;11;1;2;     187.141;       9.444;           5,60;
;;;;;;;;12;2;1;     616.187;      32.701;           5,30;
;;;;;;;;13;2;0;   1.209.516;      70.948;           4,40;
Fr. 14.06.2024;2;13;16;24;32;1;7;1;5;2;JP;JP; 161.234.810,50;
;;;;;;;;2;5;1;          10;           2;     109.895,20;
;;;;;;;;3;5;0;          19;           3;      13.518,00;
;;;;;;;;4;4;2;          88;           3;         909,00;
;;;;;;;;5;4;1;       1.604;          67;          91,80;
;;;;;;;;6;3;2;       3.325;         140;          46,80;
;;;;;;;;7;4;0;       3.742;         165;          29,20;
;;;;;;;;8;2;2;      42.911;       2.133;          12,70;
;;;;;;;;9;3;1;      64.389;       2.923;           9,40;
;;;;;;;;10;3;0;     142.255;       6.770;           7,90;
;;;;;;;;11;1;2;     214.237;      10.787;           6,40;
;;;;;;;;12;2;1;     848.501;      40.436;           5,10;
;;;;;;;;13;2;0;   1.847.351;      92.903;           3,70;
Di. 18.06.2024;3;11;33;34;36;1;12;1;5;2;JP;JP; 176.125.263,60;
;;;;;;;;2;5;1;           5;           0;     185.067,00;
;;;;;;;;3;5;0;           6;           0;      36.044,30;
;;;;;;;;4;4;2;          41;           1;       1.642,90;
;;;;;;;;5;4;1;         800;          59;         155,10;
;;;;;;;;6;3;2;       1.713;         124;          76,50;
;;;;;;;;7;4;0;       2.029;         119;          45,40;
;;;;;;;;8;2;2;      26.555;       1.678;          17,30;
;;;;;;;;9;3;1;      36.552;       2.305;          14,00;
;;;;;;;;10;3;0;     101.523;       5.766;           9,40;
;;;;;;;;11;1;2;     143.991;       8.876;           8,00;
;;;;;;;;12;2;1;     553.256;      33.799;           6,60;
;;;;;;;;13;2;0;   1.534.807;      83.258;           3,80;
Fr. 21.06.2024;3;4;7;11;17;3;12;1;5;2;JP;JP; 195.721.466,20;
;;;;;;;;2;5;1;          14;           0;      86.983,10;
;;;;;;;;3;5;0;          44;           1;       6.468,40;
;;;;;;;;4;4;2;          74;           4;       1.197,90;
;;;;;;;;5;4;1;       3.055;         101;          53,40;
;;;;;;;;6;3;2;       3.238;         151;          53,30;
;;;;;;;;7;4;0;       6.419;         248;          18,80;
;;;;;;;;8;2;2;      40.818;       2.053;          14,80;
;;;;;;;;9;3;1;      91.280;       3.741;           7,40;
;;;;;;;;10;3;0;     204.607;       8.412;           6,10;
;;;;;;;;11;1;2;     198.681;      10.730;           7,60;
;;;;;;;;12;2;1;   1.030.776;      48.508;           4,60;
;;;;;;;;13;2;0;   2.392.296;     108.634;           3,20;
Di. 25.06.2024;14;16;37;45;49;5;7;1;5;2;           1;           0; 213.887.390,00;
;;;;;;;;2;5;1;           8;           1;     141.110,20;
;;;;;;;;3;5;0;          15;           1;      17.589,20;
;;;;;;;;4;4;2;          55;           4;       1.494,10;
;;;;;;;;5;4;1;       1.122;          61;         134,90;
;;;;;;;;6;3;2;       2.697;         144;          59,30;
;;;;;;;;7;4;0;       2.296;         126;          48,90;
;;;;;;;;8;2;2;      44.842;       2.270;          12,50;
;;;;;;;;9;3;1;      49.896;       2.981;          12,50;
;;;;;;;;10;3;0;     103.586;       6.550;          11,20;
;;;;;;;;11;1;2;     260.815;      11.838;           5,40;
;;;;;;;;12;2;1;     764.555;      43.668;           5,80;
;;;;;;;;13;2;0;   1.553.498;      95.125;           4,60;
Fr. 28.06.2024;10;16;18;22;35;1;10;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           1;           0;     653.225,30;
;;;;;;;;3;5;0;           5;           0;      30.533,90;
;;;;;;;;4;4;2;          25;           1;       1.902,10;
;;;;;;;;5;4;1;         617;          30;         141,90;
;;;;;;;;6;3;2;       1.401;          78;          66,00;
;;;;;;;;7;4;0;       1.847;          63;          35,20;
;;;;;;;;8;2;2;      19.080;         911;          17,00;
;;;;;;;;9;3;1;      31.109;       1.360;          11,60;
;;;;;;;;10;3;0;      82.728;       3.236;           8,10;
;;;;;;;;11;1;2;      96.503;       4.780;           8,40;
;;;;;;;;12;2;1;     436.567;      19.121;           5,90;
;;;;;;;;13;2;0;   1.139.040;      44.924;           3,60;
Di. 02.07.2024;2;7;34;35;46;6;8;1;5;2;JP;JP;  26.534.527,70;
;;;;;;;;2;5;1;           2;           1;     248.851,10;
;;;;;;;;3;5;0;           2;           0;      58.160,60;
;;;;;;;;4;4;2;          21;           2;       1.725,20;
;;;;;;;;5;4;1;         396;          21;         168,50;
;;;;;;;;6;3;2;       1.009;          69;          69,90;
;;;;;;;;7;4;0;         972;          52;          51,00;
;;;;;;;;8;2;2;      16.589;         841;          14,90;
;;;;;;;;9;3;1;      20.357;       1.119;          13,50;
;;;;;;;;10;3;0;      46.192;       2.518;          11,10;
;;;;;;;;11;1;2;      96.176;       4.710;           6,40;
;;;;;;;;12;2;1;     327.200;      17.087;           6,00;
;;;;;;;;13;2;0;     735.440;      39.197;           4,30;
Fr. 05.07.2024;11;13;29;31;47;1;11;1;5;2;           1;           0;  39.132.032,00;
;;;;;;;;2;5;1;           6;           0;     109.598,20;
;;;;;;;;3;5;0;          14;           1;      10.977,80;
;;;;;;;;4;4;2;          45;           2;       1.063,70;
;;;;;;;;5;4;1;         847;          36;         104,10;
;;;;;;;;6;3;2;       1.591;          73;          58,50;
;;;;;;;;7;4;0;       2.056;          90;          31,80;
;;;;;;;;8;2;2;      20.981;       1.009;          15,60;
;;;;;;;;9;3;1;      32.900;       1.470;          11,10;
;;;;;;;;10;3;0;      83.957;       3.334;           8,10;
;;;;;;;;11;1;2;     100.491;       5.258;           8,10;
;;;;;;;;12;2;1;     448.978;      20.749;           5,70;
;;;;;;;;13;2;0;   1.150.742;      48.138;           3,60;
Di. 09.07.2024;6;15;19;28;39;7;11;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           2;           0;     233.146,70;
;;;;;;;;3;5;0;           7;           0;      15.568,60;
;;;;;;;;4;4;2;          34;           2;         998,30;
;;;;;;;;5;4;1;         607;          28;         103,00;
;;;;;;;;6;3;2;       1.213;          61;          54,40;
;;;;;;;;7;4;0;       1.410;          72;          32,90;
;;;;;;;;8;2;2;      16.910;         803;          13,70;
;;;;;;;;9;3;1;      25.585;       1.223;          10,10;
;;;;;;;;10;3;0;      57.756;       2.692;           8,30;
;;;;;;;;11;1;2;      86.685;       4.060;           6,70;
;;;;;;;;12;2;1;     352.051;      16.470;           5,20;
;;;;;;;;13;2;0;     792.341;      37.643;           3,70;
Fr. 12.07.2024;12;18;24;25;39;8;10;1;5;2;JP;JP;  29.128.125,30;
;;;;;;;;2;5;1;           3;           0;     211.029,30;
;;;;;;;;3;5;0;           8;           0;      18.495,30;
;;;;;;;;4;4;2;          36;           2;       1.280,10;
;;;;;;;;5;4;1;         743;          29;         114,20;
;;;;;;;;6;3;2;       1.383;          50;          64,80;
;;;;;;;;7;4;0;       1.835;          81;          34,30;
;;;;;;;;8;2;2;      19.646;         841;          16,00;
;;;;;;;;9;3;1;      33.345;       1.335;          10,50;
;;;;;;;;10;3;0;      82.980;       3.247;           7,80;
;;;;;;;;11;1;2;      99.530;       4.448;           7,90;
;;;;;;;;12;2;1;     455.333;      19.005;           5,40;
;;;;;;;;13;2;0;   1.112.596;      45.256;           3,60;
Di. 16.07.2024;2;32;35;36;39;7;8;1;5;2;JP;JP;  38.567.423,90;
;;;;;;;;2;5;1;           1;           0;     492.731,30;
;;;;;;;;3;5;0;           5;           0;      23.031,80;
;;;;;;;;4;4;2;          18;           0;       1.992,70;
;;;;;;;;5;4;1;         371;          20;         178,00;
;;;;;;;;6;3;2;         859;          37;          81,30;
;;;;;;;;7;4;0;         795;          54;          61,70;
;;;;;;;;8;2;2;      13.715;         886;          17,80;
;;;;;;;;9;3;1;      18.872;       1.124;          14,50;
;;;;;;;;10;3;0;      39.280;       2.359;          12,90;
;;;;;;;;11;1;2;      80.470;       4.582;           7,60;
;;;;;;;;12;2;1;     309.957;      16.822;           6,20;
;;;;;;;;13;2;0;     619.066;      36.654;           5,00;
Fr. 19.07.2024;15;22;35;44;48;6;7;1;5;2;           2;           0;  26.181.999,00;
;;;;;;;;2;5;1;           3;           0;     240.060,30;
;;;;;;;;3;5;0;           3;           0;      56.106,00;
;;;;;;;;4;4;2;          42;           1;       1.248,20;
;;;;;;;;5;4;1;         851;          22;         113,40;
;;;;;;;;6;3;2;       1.582;          61;          64,50;
;;;;;;;;7;4;0;       1.790;          64;          40,00;
;;;;;;;;8;2;2;      23.538;       1.030;          15,20;
;;;;;;;;9;3;1;      36.053;       1.398;          11,00;
;;;;;;;;10;3;0;      71.874;       3.002;          10,30;
;;;;;;;;11;1;2;     128.931;       5.445;           6,90;
;;;;;;;;12;2;1;     513.956;      20.216;           5,50;
;;;;;;;;13;2;0;   1.033.719;      45.040;           4,40;
Di. 23.07.2024;4;8;10;16;34;4;8;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           3;           0;     147.222,00;
;;;;;;;;3;5;0;           7;           1;      14.746,30;
;;;;;;;;4;4;2;          76;           2;         423,00;
;;;;;;;;5;4;1;         630;          23;          94,00;
;;;;;;;;6;3;2;       2.862;         101;          21,80;
;;;;;;;;7;4;0;       1.240;          63;          35,40;
;;;;;;;;8;2;2;      25.377;         986;           8,60;
;;;;;;;;9;3;1;      28.739;       1.267;           8,50;
;;;;;;;;10;3;0;      54.425;       2.555;           8,30;
;;;;;;;;11;1;2;      97.862;       4.328;           5,60;
;;;;;;;;12;2;1;     359.529;      16.814;           4,80;
;;;;;;;;13;2;0;     731.173;      35.225;           3,80;
Fr. 26.07.2024;4;19;23;35;37;4;8;1;5;2;           1;           0;  28.649.442,00;
;;;;;;;;2;5;1;           4;           1;     152.025,20;
;;;;;;;;3;5;0;          10;           0;      14.212,30;
;;;;;;;;4;4;2;          54;           1;         819,70;
;;;;;;;;5;4;1;         902;          24;          90,40;
;;;;;;;;6;3;2;       1.966;          59;          43,80;
;;;;;;;;7;4;0;       1.741;          60;          34,70;
;;;;;;;;8;2;2;      27.669;       1.047;          10,90;
;;;;;;;;9;3;1;      34.471;       1.372;           9,80;
;;;;;;;;10;3;0;      71.010;       2.866;           8,80;
;;;;;;;;11;1;2;     140.022;       5.579;           5,40;
;;;;;;;;12;2;1;     459.322;      19.442;           5,20;
;;;;;;;;13;2;0;     975.900;      42.146;           3,90;
Di. 30.07.2024;9;25;28;37;38;2;8;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           0;           0;wird dem Rang 5+0 zugeschlagen;
;;;;;;;;3;5;0;           5;           0;     108.423,60;
;;;;;;;;4;4;2;          23;           1;       1.390,70;
;;;;;;;;5;4;1;         436;          35;         135,10;
;;;;;;;;6;3;2;       1.224;          62;          50,80;
;;;;;;;;7;4;0;         831;          45;          52,60;
;;;;;;;;8;2;2;      20.011;       1.015;          10,90;
;;;;;;;;9;3;1;      20.354;       1.138;          11,90;
;;;;;;;;10;3;0;      44.479;       2.533;          10,20;
;;;;;;;;11;1;2;     108.011;       5.038;           5,00;
;;;;;;;;12;2;1;     311.867;      16.538;           5,50;
;;;;;;;;13;2;0;     671.590;      35.740;           4,10;
Fr. 02.08.2024;5;7;12;33;46;3;12;1;5;2;JP;JP;  28.776.997,10;
;;;;;;;;2;5;1;           3;           0;     204.919,70;
;;;;;;;;3;5;0;          14;           0;      10.262,80;
;;;;;;;;4;4;2;          32;           2;       1.398,50;
;;;;;;;;5;4;1;         817;          37;         100,90;
;;;;;;;;6;3;2;       1.359;          67;          64,10;
;;;;;;;;7;4;0;       1.882;          75;          32,50;
;;;;;;;;8;2;2;      19.020;         978;          16,00;
;;;;;;;;9;3;1;      34.379;       1.609;           9,90;
;;;;;;;;10;3;0;      79.750;       3.440;           7,90;
;;;;;;;;11;1;2;      95.045;       5.106;           8,10;
;;;;;;;;12;2;1;     462.879;      22.258;           5,20;
;;;;;;;;13;2;0;   1.092.703;      49.544;           3,50;
Di. 06.08.2024;1;18;27;41;50;2;12;1;5;2;JP;JP;  38.085.988,00;
;;;;;;;;2;5;1;           4;           0;     121.482,30;
;;;;;;;;3;5;0;           7;           1;      16.224,20;
;;;;;;;;4;4;2;          23;           0;       1.538,00;
;;;;;;;;5;4;1;         489;          31;         133,20;
;;;;;;;;6;3;2;         881;          39;          78,10;
;;;;;;;;7;4;0;       1.214;          63;          39,80;
;;;;;;;;8;2;2;      13.024;         800;          18,50;
;;;;;;;;9;3;1;      21.234;       1.195;          12,70;
;;;;;;;;10;3;0;      51.760;       2.877;           9,70;
;;;;;;;;11;1;2;      68.138;       4.050;           8,90;
;;;;;;;;12;2;1;     305.973;      17.429;           6,20;
;;;;;;;;13;2;0;     759.216;      40.158;           4,00;
Fr. 09.08.2024;21;23;25;33;44;4;10;1;5;2;JP;JP;  50.649.439,40;
;;;;;;;;2;5;1;           4;           0;     163.953,00;
;;;;;;;;3;5;0;           6;           0;      25.545,60;
;;;;;;;;4;4;2;          33;           2;       1.446,70;
;;;;;;;;5;4;1;         844;          40;         104,10;
;;;;;;;;6;3;2;       1.481;          74;          62,70;
;;;;;;;;7;4;0;       1.836;          75;          35,50;
;;;;;;;;8;2;2;      21.243;       1.094;          15,30;
;;;;;;;;9;3;1;      33.542;       1.541;          10,80;
;;;;;;;;10;3;0;      87.750;       3.665;           7,70;
;;;;;;;;11;1;2;     108.813;       5.563;           7,50;
;;;;;;;;12;2;1;     454.827;      20.733;           5,60;
;;;;;;;;13;2;0;   1.148.588;      48.900;           3,60;
Di. 13.08.2024;15;16;39;40;47;1;6;1;5;2;JP;JP;  60.887.190,60;
;;;;;;;;2;5;1;           1;           0;     534.410,60;
;;;;;;;;3;5;0;           3;           1;      41.633,50;
;;;;;;;;4;4;2;          26;           3;       1.496,20;
;;;;;;;;5;4;1;         420;          46;         170,60;
;;;;;;;;6;3;2;       1.048;          66;          72,20;
;;;;;;;;7;4;0;         977;          77;          54,40;
;;;;;;;;8;2;2;      15.680;         933;          16,90;
;;;;;;;;9;3;1;      20.234;       1.246;          14,60;
;;;;;;;;10;3;0;      47.407;       2.739;          11,60;
;;;;;;;;11;1;2;      89.519;       4.927;           7,40;
;;;;;;;;12;2;1;     319.528;      18.135;           6,60;
;;;;;;;;13;2;0;     756.665;      41.321;           4,40;
Fr. 16.08.2024;15;17;29;45;49;1;10;1;5;2;JP;JP;  72.769.716,40;
;;;;;;;;2;5;1;           4;           0;     184.603,50;
;;;;;;;;3;5;0;           5;           1;      34.515,90;
;;;;;;;;4;4;2;          29;           0;       1.853,50;
;;;;;;;;5;4;1;         663;          39;         149,30;
;;;;;;;;6;3;2;       1.352;          61;          77,40;
;;;;;;;;7;4;0;       1.744;          83;          42,10;
;;;;;;;;8;2;2;      20.538;         997;          17,90;
;;;;;;;;9;3;1;      30.884;       1.495;          13,20;
;;;;;;;;10;3;0;      82.155;       3.483;           9,20;
;;;;;;;;11;1;2;     106.693;       5.174;           8,60;
;;;;;;;;12;2;1;     459.663;      21.036;           6,30;
;;;;;;;;13;2;0;   1.208.658;      50.384;           3,80;
Di. 20.08.2024;7;10;13;18;26;3;12;1;5;2;JP;JP;  81.964.326,30;
;;;;;;;;2;5;1;           8;           1;      71.422,40;
;;;;;;;;3;5;0;          17;           0;       7.855,30;
;;;;;;;;4;4;2;          50;           0;         831,80;
;;;;;;;;5;4;1;       1.155;          45;          66,30;
;;;;;;;;6;3;2;       1.615;          72;          50,10;
;;;;;;;;7;4;0;       2.802;          98;          20,30;
;;;;;;;;8;2;2;      19.267;       1.133;          14,70;
;;;;;;;;9;3;1;      41.344;       1.858;           7,60;
;;;;;;;;10;3;0;      98.103;       4.282;           6,00;
;;;;;;;;11;1;2;      90.712;       5.335;           7,80;
;;;;;;;;12;2;1;     483.099;      24.182;           4,60;
;;;;;;;;13;2;0;   1.152.657;      54.902;           3,10;
Fr. 23.08.2024;9;15;24;47;50;8;9;1;5;2;JP;JP;  94.498.717,60;
;;;;;;;;2;5;1;           1;           0;     778.922,80;
;;;;;;;;3;5;0;           7;           0;      26.006,70;
;;;;;;;;4;4;2;          28;           0;       2.025,10;
;;;;;;;;5;4;1;         799;          37;         130,70;
;;;;;;;;6;3;2;       1.669;          75;          66,10;
;;;;;;;;7;4;0;       1.604;         101;          48,30;
;;;;;;;;8;2;2;      24.219;       1.223;          16,00;
;;;;;;;;9;3;1;      37.459;       1.725;          11,50;
;;;;;;;;10;3;0;      76.049;       3.771;          10,50;
;;;;;;;;11;1;2;     129.475;       6.388;           7,50;
;;;;;;;;12;2;1;     568.176;      26.018;           5,40;
;;;;;;;;13;2;0;   1.163.902;      55.424;           4,20;
Di. 27.08.2024;1;8;11;42;47;4;11;1;5;2;JP;JP; 104.936.241,00;
;;;;;;;;2;5;1;           0;           0;wird dem Rang 5+0 zugeschlagen;
;;;;;;;;3;5;0;           5;           1;     160.042,00;
;;;;;;;;4;4;2;          36;           5;       1.311,50;
;;;;;;;;5;4;1;         626;          49;         138,90;
;;;;;;;;6;3;2;       1.394;         102;          65,90;
;;;;;;;;7;4;0;       1.368;          82;          47,20;
;;;;;;;;8;2;2;      20.589;       1.303;          15,60;
;;;;;;;;9;3;1;      29.083;       1.817;          12,30;
;;;;;;;;10;3;0;      66.704;       3.921;          10,00;
;;;;;;;;11;1;2;     108.715;       7.050;           7,40;
;;;;;;;;12;2;1;     444.203;      27.034;           5,70;
;;;;;;;;13;2;0;   1.036.127;      60.332;           3,90;
Fr. 30.08.2024;3;24;27;33;42;4;6;1;5;2;JP;JP; 119.772.690,40;
;;;;;;;;2;5;1;           5;           0;     184.395,80;
;;;;;;;;3;5;0;          14;           1;      15.391,50;
;;;;;;;;4;4;2;          48;           3;       1.398,20;
;;;;;;;;5;4;1;       1.148;          63;         107,60;
;;;;;;;;6;3;2;       2.702;         138;          48,30;
;;;;;;;;7;4;0;       2.523;         130;          36,40;
;;;;;;;;8;2;2;      37.184;       1.760;          12,30;
;;;;;;;;9;3;1;      50.222;       2.608;          10,10;
;;;;;;;;10;3;0;     111.392;       5.596;           8,50;
;;;;;;;;11;1;2;     189.326;       8.470;           6,10;
;;;;;;;;12;2;1;     687.522;      34.520;           5,20;
;;;;;;;;13;2;0;   1.536.840;      77.262;           3,80;
Di. 03.09.2024;7;9;11;16;45;2;5;1;5;2;JP;JP; 132.447.714,50;
;;;;;;;;2;5;1;           3;           0;     262.554,00;
;;;;;;;;3;5;0;          11;           2;      16.735,40;
